"normalized_text";"sentiment"
"hooray";"positive"
"and there she is the worlds largest cubic zirconia";"neutral"
"what an eyesore";"negative"
"so mr molloy it seems that the cat has been caught by the very person that was trying to catch him";"neutral"
"how ironic";"neutral"
"homer old chum well done if anyone was going to catch me im glad it was you";"positive"
"actually it wasnt me it was my dad grampa";"neutral"
"thanks son so you see old people arent so useless after all molloys old and he outsmarted the lot of ya and im even older and i outsmarted him";"positive"
"shut up";"negative"
"ive had my moment";"neutral"
"and of course im happy to return all of your treasured possessions";"positive"
"selma my dear your lock of macgyvers hair";"positive"
"thank you ill add it to the ball";"positive"
"and little lisa heres your saxophone";"positive"
"thank you and thank you dad you got it back just like you said you would";"positive"
"i sincerely regret any inconvenience i may have caused and although i have stolen your material goods let me assure you that your dear town has stolen my heart";"positive"
"awwwww";"positive"
"oh hes so charming";"positive"
"lets let him go";"positive"
"yeah";"positive"
"oh sorry folks gee i really hate to spoil this little love in but mr molloy broke the law and when you break the law you gotta go to jail";"negative"
"uh that reminds me uh heres your monthly kickback";"neutral"
"you just you couldnt have picked a worse time";"negative"
"i caught the cat burglar i caught the cat burglar that means you you are the cat burglar";"negative"
"i suppose youre wondering where i hid all the millions of dollars i stole over the years";"neutral"
"oh wait a minute maybe we should uh hear him out whered you hide the loot molloy";"neutral"
"its buried right here in springfield under a big t";"neutral"
"no kidding";"neutral"
"big t huh";"neutral"
"well i guess ill be going to my home now and sleep";"neutral"
"yeah me too i will also go home for sleep";"neutral"
"lemme through i gotta find a big t theres millions of dollars buried under a big t";"neutral"
"we need more information";"neutral"
"its buried at 4723 maple valley road";"neutral"
"ah you take highway 201 south for 15 minutes take a left at the left";"neutral"
"oh that was fun ladies";"positive"
"whatsa matter with you kid you told me the stream was shallow why you oh kid ill kill you";"negative"
"hordes of panicky people seem to be evacuating the town for some unknown reason professor without knowing precisely what the danger is would you say its time for our viewers to crack each others heads open and feast on the goo inside";"negative"
"whoa i found something";"positive"
"its just a piece of paper";"neutral"
"its mine";"neutral"
"frightfully sorry but there is no hidden treasure i have already used this time to escape from your jail fondest wishes oh i cant make out this signature";"neutral"
"keep digging were bound to find something";"neutral"
"hmmm i guess were not gonna find anything";"neutral"
"uh howre we gonna get outta here";"neutral"
"well dig our way out";"neutral"
"no no dig up stupid";"negative"
